id,created_at,post_host,label,logits,text,likes_count,answers,owner.id,owner.is_verified,owner.profile_pic_url,owner.username,,Length
17850959879530157,1616727290,_mountainbikezone,1,0.988,"Till date  has been a great inspiration to me and my family. For a start I deposited $800 and after a week I got $7,800 return. Her accuracy and reliability can’t be compromised",0,[],45615071495,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/147057028_5318929851452196_869219837236182063_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=xcBFiNBfzRMAX-oDGdp&ccb=7-4&oh=867705a854a20f2a1cca3293030c639a&oe=608B9CA2&_nc_sid=9fb510,sonnia_claudia82,,177
18103645294234403,1616899440,_mountainbikezone,0,0.296, when you give up on snowboarding you should get a mountain bike.,0,[],1766874141,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/54447232_1035564093299014_6891531590598393856_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=cEyI0eH1gVkAX8Otbhd&ccb=7-4&oh=046a0b81ca12b80de29fc88134816b22&oe=608B440B&_nc_sid=9fb510,arnoni14,,65
18003404965313621,1616779779,_mountainbikezone,1,0.973,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha love it,0,[],6347608119,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/95558112_264373728081802_3811841860985421824_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=Ar7Q2iC08gAAX8xxmwh&ccb=7-4&oh=dde73d81d3eb5baf2b00ab2e449e42c8&oe=60889554&_nc_sid=9fb510,harleyddouglas,,64
17900436550847914,1616526042,_mountainbikezone,1,0.527,.loeke arrête de faire le con avec notre Moterra...😜,1,"[{'id': 17896064080873760, 'created_at': 1616528040, 'text': ""@ransonraphael tu rigoles, mais j'en ai un, il arrive bientôt 😂"", 'owner': {'id': '716663135', 'is_verified': False, 'profile_pic_url': 'https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/123322016_766883060559099_4310073280407145571_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=XjUlofHjeMoAX8LjkTP&ccb=7-4&oh=7f465020b2693c51e1d8e88e5774af45&oe=608BE2F9&_nc_sid=9fb510', 'username': 'v.loeke'}, 'likes_count': 0}]",7317189933,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/53236475_2007680749528496_4061780890001342464_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=Hr3t2iuBQWEAX-MW75j&ccb=7-4&oh=665f5cb1caacd4801f5c909b4cd5427f&oe=608C2909&_nc_sid=9fb510,ransonraphael,,53
17896537717900013,1616672482,_mountainbikezone,1,0.643,"NGL, I thought they had us in the first half... 😂",0,"[{'id': 17887288070092533, 'created_at': 1616694955, 'text': '@cianha_ 😹😹Funny guy', 'owner': {'id': '9124896303', 'is_verified': False, 'profile_pic_url': 'https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/153906690_339217114094749_2460626835931165197_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=XLE-shxzOs0AX-3SEA4&ccb=7-4&oh=de509649c56f874bfc17bf50f8eb6d37&oe=608C3C33&_nc_sid=9fb510', 'username': 'philip.v_s'}, 'likes_count': 0}]",289233365,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/11374090_1645500262388877_990375624_a.jpg?_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=5SKKghgdMvYAX9hfuHW&ccb=7-4&oh=05768fef024639669c51b16436228acb&oe=608AB075&_nc_sid=9fb510,cianha_,,50
17943491374454671,1616779817,_mountainbikezone,1,0.731,He used his skills on that hand clapping😂,2,[],45900065618,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/161454736_796853177589549_1821962817939816011_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=c6beqx_9SrsAX8mCEGU&ccb=7-4&oh=ae077ccfbd5fd6c3a692d666a302e60d&oe=6089D9F8&_nc_sid=9fb510,daily.mixed.vibes,,42
17891612119998824,1616652058,_mountainbikezone,0,0.37, le fameux dimanche matin à Montaigu😂,1,"[{'id': 17916971098584165, 'created_at': 1616657738, 'text': '@matt_map ca paaaaaaaasse 😂', 'owner': {'id': '36255223022', 'is_verified': False, 'profile_pic_url': 'https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/100931356_659429431454672_3812872339603849216_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=BvqTmzWBptEAX9oN61Y&ccb=7-4&oh=95529174fbc20b7977ca69ffa33e1a01&oe=608A47FA&_nc_sid=9fb510', 'username': 'chefchaton'}, 'likes_count': 1}]",6847277236,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/39887387_716169732065291_6633555316267024384_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=2SwxCFadQuUAX-o8eCe&ccb=7-4&oh=080d2b1c59a0dcb14befdcf959c2e176&oe=608A85E0&_nc_sid=9fb510,matt_map,,38
17902554583829334,1616616136,_mountainbikezone,1,0.705,YES!!! #freeridemtb #alldayeveryday,1,[],6876636152,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/27893232_194995281233729_3246121116787277824_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=SF0UjsZ40BYAX-aB275&ccb=7-4&oh=c37fa7236888ee42efb036d6ccc40152&oe=608B1B63&_nc_sid=9fb510,shep_913,,35
17862438956430604,1616881870,_mountainbikezone,0,0.293,Kkkkkk trolado nível hard 😂😂 ,0,[],12512668730,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/154515748_355868062132941_6901812951807715017_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=2ek5l2zaD78AX-yzv0e&ccb=7-4&oh=be40d0fa3f44381d2cdc918c26e85610&oe=608A113B&_nc_sid=9fb510,paulosteves25,,31
18110288110208207,1616956761,_mountainbikezone,0,0.423,A bike sempre se vinga 😂😂😂😂,0,[],15840010901,FALSE,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/93969156_535865573740176_3833052544091815936_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=wT6fppqiHPAAX9xde7N&ccb=7-4&oh=e46e22de97a248573012a4fb96ed9891&oe=608BA99D&_nc_sid=9fb510,marcospaulo7837,,31
