id,created_at,post_host,label,logits,text,likes_count,answers,owner.id,owner.is_verified,owner.profile_pic_url,owner.username
17861555012446746,1616904946,thecaratclub,1,0.985,I absolutely love this!!!!!😍😍😍❤️❤️❤️,0,"[{'id': 18100479718240373, 'created_at': 1616904972, 'text': '@kbean0808 #1', 'owner': {'id': '7884686191', 'is_verified': False, 'profile_pic_url': 'https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/152695038_2852828181658671_7033653181340827862_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=HLzGMyJmCsYAX9UW9J8&ccb=7-4&oh=9b002fb81938b8423f478ddafa9b2021&oe=608B1F0F&_nc_sid=9fb510', 'username': 'kbean0808'}, 'likes_count': 0}]",7884686191,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/152695038_2852828181658671_7033653181340827862_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=HLzGMyJmCsYAX9UW9J8&tn=CmOnx5F3De_QywUT&ccb=7-4&oh=8ff09fb9b72b269a50e7c47f53602360&oe=608B1F0F&_nc_sid=9fb510,kbean0808
18096239827244996,1616848698,thecaratclub,1,0.955,🙌 Crown Ring! Fantastic Company,0,[],2310035285,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/14032849_151513138619954_38016500_a.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=8IvLr2ND-m0AX8jsMk8&ccb=7-4&oh=5552b15e6b07ddd63574adb39596b250&oe=60891B14&_nc_sid=9fb510,pergjonirochelle
17899116865895077,1616783032,thecaratclub,1,0.545,Yes....😍....,0,[],17393349,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/91109153_2623798787906124_5355628500747288576_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=Ev8cVt_TpiYAX8mkIWL&ccb=7-4&oh=548bcb8bd8f9e3a5fe41516809822728&oe=608944C2&_nc_sid=9fb510,katinka0505
17921982358569612,1616776398,thecaratclub,0,0.422,😍😍😍,0,[],44967446553,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/131964739_197880828705842_4091497362239352392_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=5JHAFzMD4XoAX8wbFju&ccb=7-4&oh=90665b9b9e975342a8ecf93cb289c146&oe=608B93DC&_nc_sid=9fb510,loveletic_jewellery
17985991624343309,1616761930,thecaratclub,0,0.422,❤️❤️❤️,0,[],45480009387,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/140332933_2852909175035889_9031966480326052902_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=t_QoLKgTxXsAX8OdOu3&ccb=7-4&oh=a06a89ed11b36468dccce2630ad178bf&oe=6089DE5E&_nc_sid=9fb510,specialized_ring_factory
17882623118096022,1616714627,thecaratclub,1,0.838,Nice! 💍 @lykkedesigns,0,[],46160120263,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/157084754_243578007496636_1056588383487891205_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=H7lpzBv_itQAX94fC8t&ccb=7-4&oh=1f58427a028d3742b994205429ec1db3&oe=6088C767&_nc_sid=9fb510,lykkedesigns
17998955167319188,1616713219,thecaratclub,0,0.422,😍😍😍,0,[],9047444055,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/122580096_721324708768839_5017995114816640588_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=GvZwsQg1MawAX_GyFnn&ccb=7-4&oh=84293f65e1b972a52386dae66746367c&oe=60899446&_nc_sid=9fb510,lily_lest
17926081249533157,1616711473,thecaratclub,0,0.217,Ooo la la 👏 1!!!,0,[],46734992699,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/164642191_275682970829696_7311967137731862138_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=dzyLGPoOFGUAX-aRtUh&ccb=7-4&oh=4dd186d3d61ef40774bf9f307ffb9a74&oe=608B47F1&_nc_sid=9fb510,callitbridalcasual
17913563275633863,1616710140,thecaratclub,0,0.418,1❤️,0,[],6055732145,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/21688811_683872868482597_319720234552393728_n.jpg?_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=0L6-rwzxMmkAX8EeRgP&ccb=7-4&oh=21ab39456c51c798af376f7b68464ecf&oe=608C0842&_nc_sid=9fb510,michelineroulx
18157608823184369,1616707142,thecaratclub,0,0.416,2,0,[],4628424820,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/125891246_1615510151989074_4118792508717841241_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=urSkJ2jMS3YAX8TZVRf&ccb=7-4&oh=f6ab12a87753de1614de9af83df0d060&oe=608B0C9A&_nc_sid=9fb510,kotojiku
17879196431204955,1616705882,thecaratclub,1,0.558,@mititeluanca ❤️❤️❤️❤️,0,[],3545628737,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/67949083_2333311133588091_4504243339888951296_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=lUgXQm0uoB4AX-G3P-K&ccb=7-4&oh=461c88a0a6757565d5368154c8b81627&oe=608AEC4D&_nc_sid=9fb510,nelynashu
17878650188298987,1616705801,thecaratclub,1,0.674,Zibasf,0,[],30810286507,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/160337105_2592827424350658_848084487929218651_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=WOuEIknPHsQAX8TiMyX&ccb=7-4&oh=9f1b414fd0b4f529d56e0476798f9b02&oe=6089F6D3&_nc_sid=9fb510,3dayeketab
18016199383306459,1616892459,thecaratclub,1,0.964,Such an awesome way to propose! Congratulations 💕🥂,0,[],4172379256,False,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/164728581_1190587224708779_2531752146847513320_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=o6bleMCw91sAX8ZuQ4s&ccb=7-4&oh=b532ba6b9286408cda8cb927bcf0ba2b&oe=608952A1&_nc_sid=9fb510,joandalli
